,type,longitude,latitude
0,university,4.9115429,52.3637734
1,other,4.922683,52.3627683
2,fire_station,4.9291697,52.3604587
3,place_of_worship,4.9131214,52.3832844
4,school,4.9132037,52.381326
5,post_box,4.9237503,52.3582852
6,other,5.0673638,52.4135971
7,post_box,4.8881781,52.3775161
8,post_box,4.8730854,52.3634121
9,parking,4.863027,52.3605159
10,recycling,4.8708759,52.3815303
11,post_box,4.8714701,52.3797976
12,post_box,4.8693928,52.361065
13,recycling,4.8759303,52.3554908
14,recycling,4.8722941,52.3574226
15,recycling,4.8703423,52.3566718
16,post_box,4.8701191,52.3566089
17,recycling,4.8776676,52.3587698
18,post_box,4.8775174,52.3585075
19,recycling,4.8626158,52.3546437
20,post_box,4.8626421,52.3548104
21,post_box,4.8844036,52.3611674
22,other,4.8663024,52.3542481
23,post_box,4.9145745,52.34615
24,recycling,4.9145203,52.3459442
25,fuel,4.9707321,52.3688826
26,nightclub,4.9304264,52.3749358
27,post_box,4.9396303,52.3614569
28,post_box,4.942265,52.3604029
29,post_box,4.8889379,52.349034
30,recycling,4.8867258,52.35207
31,post_box,4.8989315,52.3542286
32,fast_food,4.9630011,52.3707789
33,cafe,4.8206896,52.3262661
34,fuel,4.8569984,52.34266
35,school,4.8622625,52.343361
36,post_box,4.8603101,52.3429097
37,recycling,4.8604202,52.3427857
38,recycling,4.8611044,52.3437307
39,post_box,4.8538289,52.3585629
40,recycling,4.8538779,52.3584574
41,post_box,4.8535547,52.3601274
42,post_box,4.8570385,52.3612962
43,recycling,4.856627,52.3603325
44,recycling,4.8751608,52.3565629
45,recycling,4.8759509,52.3554753
46,post_box,4.8715483,52.354232
47,other,4.8572723,52.3515806
48,post_box,4.8602276,52.3518973
49,post_box,4.8635978,52.3705251
50,waste_disposal,4.8613077,52.3701797
51,post_box,4.859174,52.3687954
52,recycling,4.8680122,52.3620157
53,fuel,4.8552934,52.349037
54,post_box,4.852416,52.3498011
55,post_box,4.8665607,52.3936435
56,post_box,4.8864267,52.3611478
57,recycling,4.8524342,52.3555468
58,post_box,4.8515764,52.3534361
59,recycling,4.8514157,52.3533988
60,school,4.8549605,52.3668387
61,recycling,4.8538436,52.3696
62,recycling,4.8540525,52.3685882
63,recycling,4.85532,52.3682408
64,post_box,4.8526938,52.367171
65,recycling,4.85505,52.3658092
66,post_box,4.855117,52.3643489
67,waste_disposal,4.8517237,52.3691838
68,pub,4.9303211,52.3634368
69,post_box,4.9290419,52.3675842
70,post_box,4.9236104,52.3632478
71,recycling,4.9242474,52.3664274
72,post_box,4.9250164,52.3668452
73,post_box,4.9280589,52.3558476
74,recycling,4.9352139,52.3570302
75,post_box,4.9362203,52.3584977
76,cafe,4.8735401,52.3392121
