,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
2160,2023-04-01 00:00:00,12.9,12.9,77.15,9.0,0.0,0.0,0.0,,1.8,10.4,269.0,1023.0,12.3,2.6,0.0,0.0,0.0,0
2161,2023-04-01 01:00:00,12.4,12.4,79.32,8.9,0.0,0.0,0.0,,7.6,9.3,54.0,1023.6,12.3,0.7,0.0,0.0,0.0,0
2162,2023-04-01 02:00:00,11.0,11.0,82.83,8.2,0.0,0.0,0.0,,8.8,7.9,339.0,1024.0,12.3,30.0,0.0,0.0,0.0,2
2163,2023-04-01 03:00:00,10.9,10.9,90.65,9.5,0.0,0.0,0.0,,5.4,7.1,99.0,1024.0,12.3,3.7,0.0,0.0,0.0,0
2164,2023-04-01 04:00:00,12.3,12.3,80.24,9.0,0.0,0.0,0.0,,9.4,10.2,58.0,1023.6,12.3,6.3,0.0,0.0,0.0,0
2165,2023-04-01 05:00:00,10.7,10.7,80.59,7.5,0.0,0.0,0.0,,8.2,9.6,351.0,1024.0,10.7,0.0,0.0,0.0,0.0,0
2166,2023-04-01 06:00:00,11.5,11.5,78.97,8.0,0.0,0.0,0.0,,5.4,10.5,320.0,1024.0,10.7,12.9,1.0,0.0,0.0,0
2167,2023-04-01 07:00:00,11.7,11.7,83.97,9.1,0.0,0.0,0.0,,6.4,9.8,300.0,1025.0,10.3,38.8,22.0,0.1,0.0,2
2168,2023-04-01 08:00:00,14.6,14.6,75.7,10.4,0.0,0.0,0.0,,9.7,10.3,359.0,1026.0,10.3,38.8,202.0,0.7,2.0,2
2169,2023-04-01 09:00:00,16.7,16.7,69.61,11.2,0.0,0.0,0.0,,18.3,10.9,327.0,1026.0,11.4,38.8,381.0,1.4,4.0,2
2170,2023-04-01 10:00:00,18.3,18.3,64.91,11.6,0.0,0.0,0.0,,18.3,11.4,320.0,1026.0,11.4,44.4,407.0,1.5,4.0,2
2171,2023-04-01 11:00:00,19.9,19.9,62.69,12.6,0.0,0.0,0.0,,18.1,10.8,306.0,1026.0,11.4,44.4,782.0,2.8,8.0,2
2172,2023-04-01 12:00:00,21.0,21.0,56.38,12.0,0.0,0.0,0.0,,17.6,9.1,310.0,1025.0,11.4,35.0,844.0,3.0,8.0,2
2173,2023-04-01 13:00:00,21.9,21.9,52.95,11.9,0.0,0.0,0.0,,17.4,11.5,315.0,1024.6,11.4,36.4,827.0,3.0,8.0,2
2174,2023-04-01 14:00:00,23.5,23.5,46.88,11.5,0.0,0.0,0.0,,18.7,9.2,295.0,1024.0,11.4,48.6,658.0,2.4,7.0,2
2175,2023-04-01 15:00:00,23.6,23.6,44.63,10.9,0.0,0.0,0.0,,18.4,10.0,326.0,1023.6,11.4,50.0,192.0,0.7,2.0,2
2176,2023-04-01 16:00:00,23.1,23.1,46.05,10.9,0.0,0.0,0.0,,12.5,11.6,303.0,1023.6,11.4,47.2,417.0,1.5,4.0,2
2177,2023-04-01 17:00:00,23.4,23.4,43.61,10.3,0.0,0.0,0.0,,13.4,10.9,303.0,1023.6,11.4,30.0,348.0,1.3,3.0,2
2178,2023-04-01 18:00:00,21.4,21.4,51.56,11.0,0.0,0.0,0.0,,10.6,10.5,322.0,1023.6,11.4,10.0,107.0,0.4,1.0,0
2179,2023-04-01 19:00:00,19.8,19.8,58.72,11.5,0.0,0.0,0.0,,9.4,7.6,293.0,1024.6,11.4,30.0,0.1,0.0,0.0,2
2180,2023-04-01 20:00:00,18.9,18.9,63.31,11.8,0.0,0.0,0.0,,5.8,7.3,249.0,1024.6,11.4,30.0,0.0,0.0,0.0,2
2181,2023-04-01 21:00:00,17.7,17.7,68.46,11.8,0.0,0.0,0.0,,7.6,5.1,322.0,1024.6,11.4,10.0,0.0,0.0,0.0,0
2182,2023-04-01 22:00:00,17.5,17.5,70.32,12.0,0.0,0.0,0.0,,6.9,5.9,36.0,1025.6,11.4,10.0,0.0,0.0,0.0,0
2183,2023-04-01 23:00:00,16.7,16.7,73.52,12.0,0.0,0.0,0.0,,5.0,5.3,35.0,1025.6,12.3,11.4,0.0,0.0,0.0,0
2184,2023-04-02 00:00:00,15.9,15.9,75.58,11.6,0.0,0.0,0.0,,5.4,5.9,283.0,1025.6,12.3,5.9,0.0,0.0,0.0,0
2185,2023-04-02 01:00:00,15.5,15.5,77.71,11.7,0.0,0.0,0.0,,7.6,6.6,11.0,1025.0,12.3,7.1,0.0,0.0,0.0,0
2186,2023-04-02 02:00:00,15.0,15.0,81.01,11.8,0.0,0.0,0.0,,5.8,6.6,16.0,1024.6,12.3,30.0,0.0,0.0,0.0,2
2187,2023-04-02 03:00:00,14.5,14.5,85.21,12.1,0.0,0.0,0.0,,8.4,8.6,55.0,1024.6,12.3,9.9,0.0,0.0,0.0,0
2188,2023-04-02 04:00:00,14.1,14.1,86.15,11.8,0.0,0.0,0.0,,9.4,11.0,309.0,1024.6,12.3,12.8,0.0,0.0,0.0,0
2189,2023-04-02 05:00:00,14.2,14.2,87.45,12.1,0.0,0.0,0.0,,10.6,11.2,54.0,1025.0,11.4,50.0,0.0,0.0,0.0,2
2190,2023-04-02 06:00:00,14.2,14.2,91.62,12.9,0.0,0.0,0.0,,9.6,11.0,25.0,1025.6,11.4,74.7,1.0,0.0,0.0,2
2191,2023-04-02 07:00:00,14.3,14.3,91.9,13.0,0.0,0.0,0.0,,7.6,10.6,36.0,1026.0,11.4,40.8,10.0,0.0,0.0,2
2192,2023-04-02 08:00:00,16.9,16.9,82.01,13.8,0.0,0.0,0.0,,10.1,9.0,5.0,1026.0,11.4,23.8,104.0,0.4,1.0,2
2193,2023-04-02 09:00:00,17.8,17.8,78.51,14.0,0.0,0.0,0.0,,19.1,13.5,348.0,1026.6,11.4,68.4,319.0,1.1,3.0,2
2194,2023-04-02 10:00:00,20.3,20.3,66.09,13.7,0.0,0.0,0.0,,21.6,14.9,349.0,1026.6,11.4,82.9,576.0,2.1,6.0,2
2195,2023-04-02 11:00:00,21.3,21.3,61.77,13.7,0.0,0.0,0.0,,17.6,14.1,343.0,1026.0,11.4,82.9,833.0,3.0,8.0,2
2196,2023-04-02 12:00:00,22.6,22.6,54.83,13.0,0.0,0.0,0.0,,22.1,14.3,330.0,1025.6,11.4,65.9,902.0,3.2,9.0,2
2197,2023-04-02 13:00:00,23.3,23.3,51.24,12.6,0.0,0.0,0.0,,22.1,13.1,314.0,1024.0,11.4,64.5,559.0,2.0,6.0,2
2198,2023-04-02 14:00:00,24.3,24.3,49.13,13.0,0.0,0.0,0.0,,22.7,15.3,337.0,1023.6,11.4,65.9,876.0,3.2,9.0,2
2199,2023-04-02 15:00:00,24.2,24.2,47.67,12.4,0.0,0.0,0.0,,22.1,16.8,330.0,1021.6,11.4,51.4,566.0,2.0,6.0,2
2200,2023-04-02 16:00:00,23.8,23.8,45.64,11.4,0.0,0.0,0.0,,24.1,15.8,324.0,1021.6,10.0,50.0,457.0,1.6,5.0,2
2201,2023-04-02 17:00:00,23.7,23.7,47.12,11.8,0.0,0.0,0.0,,19.5,16.3,314.0,1021.6,11.4,28.1,325.0,1.2,3.0,2
2202,2023-04-02 18:00:00,21.4,21.4,54.45,11.8,0.2,0.0,0.0,['rain'],17.6,13.4,317.0,1021.6,10.0,44.5,52.0,0.2,1.0,6
2203,2023-04-02 19:00:00,20.3,20.3,60.08,12.3,0.0,0.0,0.0,,11.2,7.2,258.0,1021.6,10.0,41.2,0.0,0.0,0.0,2
2204,2023-04-02 20:00:00,20.0,20.0,61.81,12.4,0.0,0.0,0.0,,7.1,3.6,336.0,1022.6,11.4,10.0,0.0,0.0,0.0,0
2205,2023-04-02 21:00:00,18.0,18.0,68.21,12.0,0.0,0.0,0.0,,7.9,5.5,233.0,1023.6,11.4,10.0,0.0,0.0,0.0,0
2206,2023-04-02 22:00:00,18.0,18.0,70.56,12.5,0.0,0.0,0.0,,6.6,9.0,18.0,1023.6,11.4,21.6,0.0,0.0,0.0,2
2207,2023-04-02 23:00:00,17.1,17.1,75.24,12.6,0.0,0.0,0.0,,7.6,9.3,305.0,1022.6,12.3,28.4,0.0,0.0,0.0,2
2208,2023-04-03 00:00:00,16.9,16.9,75.85,12.6,0.0,0.0,0.0,,5.3,9.1,280.0,1022.6,12.3,28.4,0.0,0.0,0.0,2
2209,2023-04-03 01:00:00,15.6,15.6,80.26,12.2,0.0,0.0,0.0,,5.3,8.2,301.0,1022.6,12.3,26.1,0.0,0.0,0.0,2
2210,2023-04-03 02:00:00,16.4,16.4,78.02,12.5,0.0,0.0,0.0,,12.4,8.9,291.0,1022.6,12.3,26.1,0.0,0.0,0.0,2
2211,2023-04-03 03:00:00,15.5,15.5,82.47,12.5,0.0,0.0,0.0,,12.1,9.2,295.0,1022.0,12.3,30.0,0.0,0.0,0.0,2
2212,2023-04-03 04:00:00,14.9,14.9,88.06,13.0,0.0,0.0,0.0,,10.4,10.1,149.0,1022.6,12.3,81.6,0.0,0.0,0.0,2
2213,2023-04-03 05:00:00,14.6,14.6,88.19,12.7,0.0,0.0,0.0,,9.1,6.9,31.0,1022.6,12.3,86.2,0.0,0.0,0.0,2
2214,2023-04-03 06:00:00,14.3,14.3,88.18,12.4,0.0,0.0,0.0,,9.4,8.5,345.0,1022.6,9.4,35.8,0.0,0.0,0.0,2
2215,2023-04-03 07:00:00,14.9,14.9,90.05,13.3,0.0,0.0,0.0,,16.6,9.6,24.0,1022.6,8.6,35.8,16.0,0.1,0.0,2
2216,2023-04-03 08:00:00,16.1,16.1,86.09,13.8,0.0,0.0,0.0,,12.1,7.4,346.0,1023.0,7.3,25.8,186.0,0.7,2.0,2
2217,2023-04-03 09:00:00,17.6,17.6,77.58,13.7,0.0,0.0,0.0,,20.2,15.7,326.0,1023.0,10.7,80.0,347.0,1.2,3.0,2
2218,2023-04-03 10:00:00,18.6,18.6,74.46,14.0,0.0,0.0,0.0,,24.5,15.3,317.0,1023.0,11.4,42.3,407.0,1.5,4.0,2
2219,2023-04-03 11:00:00,20.1,20.1,68.43,14.1,0.0,0.0,0.0,,29.7,23.1,303.0,1022.6,11.4,58.2,293.0,1.1,3.0,2
