,type,longitude,latitude
0,toilets,-118.2945817,34.1181132
1,other,-118.6018306,34.1952295
2,fast_food,-118.216019,34.0762169
3,fast_food,-118.216012,34.0766932
4,other,-118.1828915,34.1153033
5,other,-118.2905248,34.0723384
6,parking_entrance,-118.447979,33.9546598
7,other,-118.305447,34.0617936
8,parking,-118.4062065,33.9443513
9,fuel,-118.237237,34.1032728
10,parking,-118.358,33.9992225
11,library,-118.417116,33.9594189
12,other,-118.4739873,33.985877
13,parking,-118.4137598,34.1156691
14,bank,-118.398903,34.0212776
15,other,-118.422068,34.0203234
16,other,-118.5136709,34.1278589
17,other,-118.5136868,34.0597604
18,other,-118.513083,34.1284139
19,fire_station,-118.2417558,33.758721
20,other,-118.4511455,33.9595972
21,other,-118.472317,34.1744768
22,other,-118.4728213,34.1765993
23,other,-118.4734439,34.1751941
24,other,-118.4735289,34.1776175
25,parking,-118.4740971,34.1800421
26,parking,-118.4020116,33.9448469
27,parking,-118.4060321,33.9431907
28,parking,-118.4022857,33.943375
29,parking,-118.3991751,33.9450799
30,toilets,-118.429409,34.0728552
31,library,-118.3013483,34.2582533
32,pub,-118.3028134,34.2594656
33,townhall,-118.3009365,34.2578222
34,restaurant,-118.3289013,34.0996138
35,restaurant,-118.3293304,34.0998981
36,fast_food,-118.327536,34.0981853
37,other,-118.3268991,34.0981831
38,parking_entrance,-118.3778241,34.0758961
39,parking_entrance,-118.3767185,34.0744374
40,fast_food,-118.3767739,34.0744214
41,other,-118.5581213,34.1078233
42,cafe,-118.3152399,34.2599805
43,restaurant,-118.3147464,34.2602353
44,drinking_water,-118.3860632,34.2605075
45,fast_food,-118.3149028,34.2602359
46,drinking_water,-118.5134703,34.1279369
47,other,-118.485361,34.1763942
48,school,-118.592719,34.2422185
49,school,-118.206461,34.1102869
50,school,-118.1720161,34.0858432
51,school,-118.3400559,34.0430891
52,other,-118.2846906,33.736769
53,school,-118.3072971,34.2551709
54,school,-118.2250735,34.0950099
55,school,-118.3247982,34.0408448
56,school,-118.3825803,34.2152821
57,other,-118.1895507,34.104089
58,school,-118.3361878,34.0694546
59,school,-118.2828355,33.9332724
60,school,-118.19785,34.047234
61,school,-118.462462,34.0821132
62,school,-118.2625745,34.0627892
63,school,-118.2942418,34.0497338
64,school,-118.3394992,34.0986383
65,school,-118.2131282,34.0422344
66,school,-118.287296,33.9514036
67,school,-118.4320254,34.1525063
68,school,-118.3995246,34.1708391
69,school,-118.4928609,34.1586169
70,school,-118.3556324,34.046122
71,school,-118.4415114,34.2196221
72,school,-118.1886834,34.1027871
73,school,-118.3973034,34.2358368
74,other,-118.2834937,33.7098918
75,school,-118.3053535,34.0705661
76,college,-118.211739,34.0633445
77,school,-118.4675825,34.1650057
78,school,-118.437027,34.2305593
79,school,-118.3828579,34.2061157
80,school,-118.2399896,34.064243
81,school,-118.3480679,34.0607833
82,school,-118.4390964,34.1657811
83,school,-118.4397316,34.2265497
84,school,-118.5856432,34.2541698
85,school,-118.3206322,34.10612
86,school,-118.4239697,34.1566729
87,school,-118.3536877,34.0316782
88,school,-118.3890748,34.1607643
89,school,-118.3434095,34.0175122
90,school,-118.2859085,34.0694552
91,monastery,-118.3168157,34.0439695
92,school,-118.5245259,34.0444532
93,school,-118.3948018,34.1416736
94,school,-118.2897975,34.0691775
95,school,-118.2881309,34.0822324
96,school,-118.2270831,34.1280376
97,school,-118.222573,34.0883435
98,school,-118.2203507,34.0447343
99,school,-118.4634176,34.0874621
100,school,-118.5114729,34.1705609
101,school,-118.2495187,34.0888992
102,school,-118.4038398,33.9567542
103,school,-118.3953588,34.2311148
104,school,-118.4070262,34.2827795
105,school,-118.3998,34.0241778
106,school,-118.2403519,34.1177867
107,school,-118.3070196,34.0189016
108,school,-118.4045257,34.2227818
109,school,-118.2659045,33.7886289
110,school,-118.5292518,34.2052822
111,school,-118.2867395,33.8822381
112,school,-118.2678529,34.1225086
113,school,-118.165904,34.069455
114,school,-118.4292492,34.3025009
115,school,-118.4148091,34.2683162
116,school,-118.2727028,33.7856716
117,school,-118.4215402,34.2538912
118,school,-118.3011836,33.8327943
119,school,-118.3609107,34.0694543
120,school,-118.2900717,33.7922396
121,school,-118.3035423,33.7930637
122,school,-118.4734159,34.1616725
123,school,-118.212573,34.085288
124,school,-118.3400772,34.0988979
125,school,-118.2742377,33.9998461
126,school,-118.3139644,34.0258456
127,school,-118.3550769,34.0475109
128,school,-118.3034047,33.7444625
129,school,-118.2611861,34.1205644
130,school,-118.3272974,33.9800135
