,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,tzoffset
2159,2023-04-01 00:00:00,13.3,13.3,75.47,9.1,0.0,0.0,0.0,,7.2,0.7,328.0,1020.9,16.0,5.6,0.0,0.0,0.0,0,
2160,2023-04-01 01:00:00,12.3,12.3,78.38,8.7,0.0,0.0,0.0,,6.5,0.5,344.0,1020.8,16.0,1.9,0.0,0.0,0.0,0,
2161,2023-04-01 02:00:00,11.2,11.2,84.07,8.6,0.0,0.0,0.0,,7.2,0.0,0.0,1020.4,16.0,1.9,0.0,0.0,0.0,0,
2162,2023-04-01 03:00:00,10.8,10.8,84.27,8.2,0.0,0.0,0.0,,7.9,0.0,0.0,1020.2,16.0,1.9,0.0,0.0,0.0,0,
2163,2023-04-01 04:00:00,10.2,10.2,84.41,7.6,0.0,0.0,0.0,,8.3,0.7,43.0,1020.0,16.0,1.9,0.0,0.0,0.0,0,
2164,2023-04-01 05:00:00,10.0,10.0,82.5,7.2,0.0,0.0,0.0,,8.3,0.4,360.0,1019.6,16.0,1.9,0.0,0.0,0.0,0,
2165,2023-04-01 06:00:00,9.0,9.0,84.42,6.5,0.0,0.0,0.0,,8.3,0.6,28.0,1019.7,16.0,1.9,0.0,0.0,0.0,0,
2166,2023-04-01 07:00:00,9.4,9.4,79.54,6.0,0.0,0.0,0.0,,9.0,0.3,35.0,1019.9,16.0,1.9,8.0,0.0,0.0,0,
2167,2023-04-01 08:00:00,11.2,11.2,72.81,6.5,0.0,0.0,0.0,,11.9,0.0,0.0,1020.4,16.0,1.9,41.0,0.1,0.0,0,
2168,2023-04-01 09:00:00,14.1,14.1,58.64,6.1,0.0,0.0,0.0,,13.7,0.0,0.0,1020.8,16.0,1.9,66.0,0.2,1.0,0,
2169,2023-04-01 10:00:00,17.0,17.0,45.95,5.3,0.0,0.0,0.0,,14.0,0.3,54.0,1020.5,16.0,0.0,383.0,1.4,4.0,0,
2170,2023-04-01 11:00:00,19.1,19.1,39.92,5.1,0.0,0.0,0.0,,14.8,0.6,0.0,1020.5,16.0,0.0,603.0,2.2,6.0,0,
2171,2023-04-01 12:00:00,20.9,20.9,34.08,4.5,0.0,0.0,0.0,,18.0,2.0,182.0,1020.1,16.0,0.0,607.0,2.2,6.0,0,
2172,2023-04-01 13:00:00,20.8,20.8,33.31,4.0,0.0,0.0,0.0,,24.1,12.9,252.0,1020.1,16.0,0.0,633.0,2.3,6.0,0,
2173,2023-04-01 14:00:00,19.8,19.8,32.68,2.9,0.0,0.0,0.0,,29.2,11.2,244.0,1020.0,16.0,1.9,620.0,2.2,6.0,0,
2174,2023-04-01 15:00:00,19.7,19.7,33.89,3.3,0.0,0.0,0.0,,31.0,12.4,244.0,1019.6,16.0,1.9,557.0,2.0,6.0,0,
2175,2023-04-01 16:00:00,18.8,18.8,45.47,6.8,0.0,0.0,0.0,,37.1,12.5,256.0,1019.3,16.0,1.9,437.0,1.6,4.0,0,
2176,2023-04-01 17:00:00,18.5,18.5,46.16,6.7,0.0,0.0,0.0,,28.8,12.1,262.0,1018.9,16.0,0.0,239.0,0.9,2.0,0,
2177,2023-04-01 18:00:00,17.7,17.7,50.48,7.3,0.0,0.0,0.0,,24.8,8.9,230.0,1018.5,16.0,1.9,55.0,0.2,1.0,0,
2178,2023-04-01 19:00:00,16.2,16.2,53.27,6.7,0.0,0.0,0.0,,18.4,8.2,220.0,1018.7,16.0,0.0,16.0,0.1,0.0,0,
2179,2023-04-01 20:00:00,15.1,15.1,65.01,8.5,0.0,0.0,0.0,,10.4,3.7,238.0,1019.0,16.0,0.0,3.0,0.0,0.0,0,
2180,2023-04-01 21:00:00,13.7,13.7,76.19,9.6,0.0,0.0,0.0,,9.0,2.1,195.0,1019.5,16.0,0.0,0.0,0.0,0.0,0,
