,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,tzoffset
2160,2023-04-01 00:00:00,13.4,13.4,70.29,8.1,0.0,0.0,0.0,,22.0,9.4,268.0,1017.9,30.0,29.2,0.0,0.0,0.0,2,
2161,2023-04-01 01:00:00,12.8,12.8,71.7,7.8,0.0,0.0,0.0,,20.5,9.2,269.0,1017.9,10.0,51.2,0.0,0.0,0.0,2,
2162,2023-04-01 02:00:00,12.4,12.4,77.05,8.5,0.0,0.0,0.0,,19.8,9.3,278.0,1017.8,10.0,48.7,0.0,0.0,0.0,2,
2163,2023-04-01 03:00:00,12.0,12.0,85.88,9.7,0.912,0.0,0.0,['rain'],19.1,9.4,250.0,1017.9,5.2,98.0,0.0,0.0,0.0,5,
2164,2023-04-01 04:00:00,11.6,11.6,83.48,8.9,0.0,0.0,0.0,,17.6,9.2,174.0,1017.9,10.0,70.7,0.0,0.0,0.0,2,
2165,2023-04-01 05:00:00,11.5,11.5,86.99,9.4,0.0,0.0,0.0,,18.4,2.3,278.0,1017.6,10.0,95.3,0.0,0.0,0.0,1,
2166,2023-04-01 06:00:00,11.4,11.4,96.71,10.9,0.0,0.0,0.0,,19.4,0.7,279.0,1017.7,20.0,88.5,0.0,0.0,0.0,2,
2167,2023-04-01 07:00:00,11.3,11.3,97.35,10.9,0.0,0.0,0.0,,19.1,0.7,250.0,1018.3,0.0,100.0,0.0,0.0,0.0,1,
2168,2023-04-01 08:00:00,11.5,11.5,87.69,9.5,0.0,0.0,0.0,,21.2,0.6,179.0,1019.0,10.0,100.0,28.0,0.1,0.0,1,
2169,2023-04-01 09:00:00,13.1,13.1,76.32,9.0,0.011,0.0,0.0,['rain'],25.2,9.5,146.0,1019.5,30.0,98.0,84.0,0.3,1.0,5,
2170,2023-04-01 10:00:00,14.4,14.4,61.0,7.0,0.0,0.0,0.0,,33.1,12.9,155.0,1020.0,0.0,49.9,274.0,1.0,3.0,2,
2171,2023-04-01 11:00:00,15.0,15.0,50.51,4.8,0.0,0.0,0.0,,41.0,13.4,178.0,1020.3,0.0,68.2,297.0,1.1,3.0,2,
2172,2023-04-01 12:00:00,14.5,14.5,59.81,6.8,0.0,0.0,0.0,,41.0,15.4,161.0,1020.4,30.0,96.1,183.0,0.7,2.0,1,
2173,2023-04-01 13:00:00,14.8,14.8,60.42,7.2,0.0,0.0,0.0,,40.3,13.6,169.0,1020.4,10.0,95.9,225.0,0.8,2.0,1,
2174,2023-04-01 14:00:00,13.2,13.2,72.05,8.3,0.0,0.0,0.0,,40.7,10.6,159.0,1020.2,10.0,97.4,269.0,1.0,3.0,1,
2175,2023-04-01 15:00:00,14.7,14.7,61.61,7.4,0.183,0.0,0.0,['rain'],40.7,13.4,197.0,1019.9,30.0,98.0,317.0,1.1,3.0,5,
2176,2023-04-01 16:00:00,14.7,14.7,57.66,6.4,0.0,0.0,0.0,,38.9,13.2,169.0,1019.8,0.0,89.2,226.0,0.8,2.0,2,
2177,2023-04-01 17:00:00,15.3,15.3,53.73,6.0,0.0,0.0,0.0,,39.6,13.4,169.0,1019.8,0.0,74.9,201.0,0.7,2.0,2,
2178,2023-04-01 18:00:00,14.8,14.8,58.32,6.7,0.0,0.0,0.0,,36.0,10.0,168.0,1019.9,30.0,98.0,93.0,0.3,1.0,1,
2179,2023-04-01 19:00:00,14.4,14.4,63.18,7.5,0.0,0.0,0.0,,35.3,13.3,186.0,1020.3,10.0,77.1,26.0,0.1,0.0,2,
2180,2023-04-01 20:00:00,13.8,13.8,65.18,7.4,0.0,0.0,0.0,,27.7,8.3,168.0,1020.9,10.0,57.8,5.0,0.0,0.0,2,
2181,2023-04-01 21:00:00,14.0,14.0,63.58,7.2,0.0,0.0,0.0,,22.7,7.9,158.0,1021.4,30.0,98.0,0.0,0.0,0.0,1,
2182,2023-04-01 22:00:00,13.9,13.9,61.87,6.7,0.0,0.0,0.0,,16.6,9.5,148.0,1021.7,10.0,93.9,0.0,0.0,0.0,1,
2183,2023-04-01 23:00:00,13.3,13.3,64.93,6.9,0.0,0.0,0.0,,11.9,5.5,111.0,1021.8,10.0,78.8,0.0,0.0,0.0,2,
2184,2023-04-02 00:00:00,12.8,12.8,65.84,6.6,0.0,0.0,0.0,,11.5,5.4,101.0,1021.5,30.0,91.9,0.0,0.0,0.0,1,
2185,2023-04-02 01:00:00,11.4,11.4,70.36,6.2,0.0,0.0,0.0,,8.6,0.5,127.0,1021.2,10.0,33.0,0.0,0.0,0.0,2,
2186,2023-04-02 02:00:00,10.5,10.5,76.75,6.6,0.0,0.0,0.0,,6.5,0.5,137.0,1021.0,10.0,17.9,0.0,0.0,0.0,0,
2187,2023-04-02 02:00:00,10.4,10.4,82.66,7.6,0.0,0.0,0.0,,4.7,0.3,158.0,1020.6,10.0,22.2,0.0,0.0,0.0,2,10.0
2188,2023-04-02 03:00:00,10.7,10.7,79.15,7.3,0.0,0.0,0.0,,5.0,2.0,76.0,1020.3,30.0,83.9,0.0,0.0,0.0,2,10.0
2189,2023-04-02 04:00:00,10.8,10.8,78.29,7.1,0.0,0.0,0.0,,6.1,5.3,327.0,1020.1,10.0,9.3,0.0,0.0,0.0,0,10.0
2190,2023-04-02 05:00:00,10.2,10.2,80.79,7.0,0.0,0.0,0.0,,6.8,9.1,33.0,1020.3,10.0,17.1,0.0,0.0,0.0,0,10.0
2191,2023-04-02 06:00:00,9.5,8.7,81.73,6.5,0.0,0.0,0.0,,6.1,7.0,49.0,1020.7,30.0,29.2,0.0,0.0,0.0,2,10.0
2192,2023-04-02 07:00:00,8.5,8.5,84.75,6.1,0.0,0.0,0.0,,6.1,3.7,46.0,1021.0,10.0,23.5,24.0,0.1,0.0,2,10.0
2193,2023-04-02 08:00:00,10.3,10.3,79.0,6.8,0.0,0.0,0.0,,9.4,7.2,36.0,1021.4,10.0,53.1,175.0,0.6,2.0,2,10.0
2194,2023-04-02 09:00:00,13.1,13.1,69.4,7.7,0.0,0.0,0.0,,15.1,5.3,31.0,1022.0,30.0,64.1,412.0,1.5,4.0,2,10.0
2195,2023-04-02 10:00:00,15.2,15.2,62.05,8.0,0.0,0.0,0.0,,20.9,2.6,281.0,1021.9,10.0,19.1,592.0,2.1,6.0,0,10.0
2196,2023-04-02 11:00:00,16.6,16.6,54.82,7.5,0.0,0.0,0.0,,22.7,7.8,112.0,1021.6,10.0,5.8,724.0,2.6,7.0,0,10.0
2197,2023-04-02 12:00:00,16.9,16.9,54.71,7.7,0.0,0.0,0.0,,22.3,9.4,229.0,1021.1,35.0,30.0,619.0,2.2,6.0,2,10.0
2198,2023-04-02 13:00:00,17.1,17.1,55.12,8.1,0.0,0.0,0.0,,21.2,12.6,197.0,1020.4,10.0,46.2,736.0,2.6,7.0,2,10.0
