,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
0,2023-01-01 00:00:00,20.0,20.0,88.48,18.0,0.0,0.0,0.0,,11.2,5.6,51.0,1019.0,10.0,87.4,0.0,0.0,0.0,2
1,2023-01-01 01:00:00,20.0,20.0,88.69,18.0,0.0,0.0,0.0,,10.1,7.7,70.0,1018.0,9.8,27.1,0.0,0.0,0.0,2
2,2023-01-01 02:00:00,19.9,19.9,88.68,18.0,0.0,0.0,0.0,,9.7,5.7,51.0,1017.0,9.0,2.0,0.0,0.0,0.0,0
3,2023-01-01 03:00:00,19.9,19.9,83.46,17.0,0.0,0.0,0.0,,9.4,7.6,61.0,1017.0,10.0,25.0,0.0,0.0,0.0,2
4,2023-01-01 04:00:00,19.0,19.0,88.6,17.0,0.0,0.0,0.0,,11.2,5.4,33.0,1017.0,9.9,4.0,0.0,0.0,0.0,0
5,2023-01-01 05:00:00,18.9,18.9,88.6,17.0,0.0,0.0,0.0,,10.4,3.5,77.0,1017.0,9.8,4.0,0.0,0.0,0.0,0
6,2023-01-01 06:00:00,17.8,17.8,95.35,17.0,0.0,0.0,0.0,,9.0,1.8,137.0,1017.4,10.7,1.8,12.0,0.0,0.0,0
7,2023-01-01 07:00:00,20.4,20.4,89.21,18.6,0.0,0.0,0.0,,9.4,2.6,160.0,1018.4,8.3,3.2,87.0,0.3,1.0,0
8,2023-01-01 08:00:00,23.0,23.0,74.37,18.2,0.0,0.0,0.0,,16.9,2.8,100.0,1018.9,10.0,50.0,285.0,1.0,3.0,2
9,2023-01-01 09:00:00,24.0,24.0,69.05,18.0,0.0,0.0,0.0,,18.4,5.4,72.0,1019.4,11.9,58.1,456.0,1.6,5.0,2
10,2023-01-01 10:00:00,25.0,25.0,65.75,18.2,0.0,0.0,0.0,,21.2,4.2,80.0,1019.4,10.0,37.1,555.0,2.0,6.0,2
11,2023-01-01 11:00:00,26.0,26.0,62.02,18.2,0.0,0.0,0.0,,23.8,6.1,305.0,1018.4,10.0,50.0,701.0,2.5,7.0,2
12,2023-01-01 12:00:00,27.6,28.9,59.36,19.0,0.0,0.0,0.0,,23.4,7.4,287.0,1017.8,11.9,43.6,550.0,2.0,6.0,2
13,2023-01-01 13:00:00,27.0,27.9,58.53,18.2,0.0,0.0,0.0,,22.7,9.3,326.0,1017.4,10.0,66.3,342.0,1.2,3.0,2
14,2023-01-01 14:00:00,24.7,24.7,72.35,19.4,0.0,0.0,0.0,,26.3,12.9,201.0,1016.8,9.2,66.9,82.0,0.3,1.0,2
15,2023-01-01 15:00:00,24.0,24.0,73.19,18.9,0.0,0.0,0.0,,29.5,13.2,143.0,1016.4,11.6,29.1,418.0,1.5,4.0,2
16,2023-01-01 16:00:00,24.2,24.2,78.46,20.2,0.0,0.0,0.0,,21.6,18.1,153.0,1015.9,8.4,57.1,245.0,0.9,2.0,2
17,2023-01-01 17:00:00,24.0,24.0,79.15,20.2,0.0,0.0,0.0,,24.5,14.1,160.0,1015.9,8.8,53.4,287.0,1.0,3.0,2
18,2023-01-01 18:00:00,23.4,23.4,79.12,19.6,0.0,0.0,0.0,,25.2,18.9,134.0,1016.0,10.7,50.4,83.0,0.3,1.0,2
19,2023-01-01 19:00:00,21.6,21.6,88.31,19.6,0.0,0.0,0.0,,22.3,14.2,153.0,1016.9,9.4,37.1,16.0,0.1,0.0,2
20,2023-01-01 20:00:00,21.0,21.0,89.08,19.1,0.0,0.0,0.0,,17.6,15.5,130.0,1016.9,10.0,53.4,0.0,0.0,0.0,2
21,2023-01-01 21:00:00,20.9,20.9,89.38,19.1,0.0,0.0,0.0,,17.6,11.6,148.0,1017.4,10.7,61.3,0.0,0.0,0.0,2
22,2023-01-01 22:00:00,21.0,21.0,86.07,18.6,0.0,0.0,0.0,,16.6,11.4,113.0,1018.4,10.0,88.9,0.0,0.0,0.0,2
23,2023-01-01 23:00:00,20.4,20.4,89.12,18.6,0.0,0.0,0.0,,16.9,6.6,97.0,1017.9,10.0,71.5,0.0,0.0,0.0,2
24,2023-01-02 00:00:00,20.0,20.0,88.48,18.0,0.0,0.0,0.0,,15.8,7.7,89.0,1017.0,10.0,51.4,0.0,0.0,0.0,2
25,2023-01-02 01:00:00,20.0,20.0,88.48,18.0,0.0,0.0,0.0,,14.4,7.6,90.0,1016.0,10.0,28.1,0.0,0.0,0.0,2
26,2023-01-02 02:00:00,20.0,20.0,88.69,18.0,0.0,0.0,0.0,,12.6,5.5,42.0,1016.0,10.0,88.0,0.0,0.0,0.0,2
27,2023-01-02 03:00:00,20.0,20.0,88.69,18.0,0.0,0.0,0.0,,10.8,5.5,61.0,1016.0,10.0,50.0,0.0,0.0,0.0,2
