,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
0,2023-01-01 00:00:00,14.0,14.0,66.07,7.7,0.0,0.0,0.0,,31.7,14.0,351.0,1024.5,10.0,30.0,0.0,0.0,0.0,2
1,2023-01-01 01:00:00,14.4,14.4,62.5,7.4,0.0,0.0,0.0,,31.7,17.6,4.0,1024.5,10.0,30.0,0.0,0.0,0.0,2
2,2023-01-01 02:00:00,9.7,9.7,90.76,8.3,0.0,0.0,0.0,,21.6,1.2,359.0,1024.5,18.9,91.9,0.0,0.0,0.0,1
3,2023-01-01 03:00:00,13.5,13.5,67.72,7.7,0.0,0.0,0.0,,31.3,18.0,9.0,1023.5,10.0,33.9,0.0,0.0,0.0,2
4,2023-01-01 04:00:00,13.0,13.0,68.09,7.3,0.0,0.0,0.0,,30.6,19.0,9.0,1023.5,10.0,30.0,0.0,0.0,0.0,2
5,2023-01-01 05:00:00,11.1,11.1,79.43,7.7,0.0,0.0,0.0,,21.6,7.6,30.0,1024.2,19.9,83.9,0.0,0.0,0.0,2
6,2023-01-01 06:00:00,13.0,13.0,68.09,7.3,0.0,0.0,0.0,,30.2,17.3,13.0,1024.0,10.0,30.0,0.0,0.0,0.0,2
7,2023-01-01 07:00:00,13.0,13.0,65.93,6.8,0.0,0.0,0.0,,30.2,17.6,23.0,1024.5,10.0,30.0,0.0,0.0,0.0,2
8,2023-01-01 08:00:00,11.6,11.6,81.23,8.4,0.0,0.0,0.0,,21.6,1.4,29.0,1025.4,17.8,91.9,21.4,0.1,0.0,1
9,2023-01-01 09:00:00,13.5,13.5,66.03,7.3,0.0,0.0,0.0,,31.0,20.5,3.0,1025.9,10.0,30.0,83.8,0.3,1.0,2
10,2023-01-01 10:00:00,13.9,13.9,64.22,7.3,0.0,0.0,0.0,,30.6,20.5,4.0,1025.9,10.0,30.0,124.7,0.4,1.0,2
11,2023-01-01 11:00:00,15.6,15.6,61.27,8.2,0.0,0.0,0.0,,21.6,7.5,3.0,1026.0,16.9,91.9,145.0,0.5,1.0,1
12,2023-01-01 12:00:00,14.9,14.9,62.24,7.8,0.0,0.0,0.0,,28.8,18.8,1.0,1024.9,10.0,30.0,136.0,0.5,1.0,2
13,2023-01-01 13:00:00,15.9,15.9,58.37,7.8,0.0,0.0,0.0,,28.1,22.0,2.0,1023.5,9.6,30.0,105.8,0.4,1.0,2
14,2023-01-01 14:00:00,16.4,16.4,59.18,8.5,0.0,0.0,0.0,,21.6,10.9,351.0,1022.8,14.1,91.9,88.9,0.3,1.0,1
15,2023-01-01 15:00:00,17.4,17.4,55.05,8.3,0.0,0.0,0.0,,27.7,16.9,5.0,1021.9,10.0,30.0,109.2,0.4,1.0,2
16,2023-01-01 16:00:00,17.4,17.4,57.07,8.8,0.0,0.0,0.0,,25.2,12.9,1.0,1021.0,10.0,30.0,102.8,0.4,1.0,2
17,2023-01-01 17:00:00,16.4,16.4,63.12,9.4,0.0,0.0,0.0,,21.6,7.4,11.0,1022.4,14.5,91.9,46.2,0.2,0.0,1
18,2023-01-01 18:00:00,16.9,16.9,60.93,9.4,0.0,0.0,0.0,,20.9,15.0,14.0,1022.0,10.0,30.0,5.6,0.0,0.0,2
19,2023-01-01 19:00:00,16.9,16.9,59.2,8.9,0.0,0.0,0.0,,21.6,12.2,23.0,1022.9,10.0,30.0,0.0,0.0,0.0,2
20,2023-01-01 20:00:00,15.2,15.2,73.47,10.5,0.0,0.0,0.0,,21.6,0.9,46.0,1023.8,16.2,91.9,0.0,0.0,0.0,1
