,type,longitude,latitude
0,other,113.9235698,22.5242107
1,fuel,114.0860438,22.551146
2,other,114.0883482,22.5476264
3,fuel,113.8550424,22.6142154
4,fire_station,114.0872105,22.5507971
5,hospital,114.0813234,22.5402847
6,other,114.0826363,22.5426736
7,other,114.0779418,22.546539
8,cinema,114.1137898,22.5478247
9,restaurant,114.1253361,22.5524875
10,other,114.1255293,22.5538994
11,fast_food,114.1168413,22.5511798
12,fast_food,114.1167528,22.5509367
13,restaurant,114.1166073,22.5507275
14,other,114.1235113,22.5556866
15,other,114.1240955,22.5550738
16,bank,114.126539,22.5534872
17,other,114.1303386,22.5511209
18,bank,114.1254328,22.5521842
19,bank,114.1265937,22.5516211
20,other,114.1244313,22.5525294
21,cafe,114.1129509,22.548511
22,kindergarten,114.1146475,22.5498498
23,kindergarten,114.1152213,22.550801
24,hospital,114.1163537,22.5503314
25,other,114.105598,22.5451406
26,taxi,114.1130084,22.5338689
27,other,114.1178676,22.5515702
28,other,114.0349285,22.5486825
29,parking,114.0433828,22.5493167
30,cinema,114.0394574,22.5553
31,other,114.0393823,22.5554982
32,other,113.8272973,22.8005665
33,restaurant,114.1081721,22.5721322
34,other,114.6014777,22.5351882
35,restaurant,114.5460021,22.4851543
36,parking_entrance,113.9092307,22.5430428
37,conference_centre,113.9063327,22.4872923
38,other,113.9062534,22.4877806
39,toilets,113.9012871,22.4880319
40,post_office,113.9226398,22.5174123
41,other,113.9192924,22.5192161
42,other,113.9191507,22.5205351
43,other,113.9106914,22.4893424
44,parking,113.9105575,22.488022
45,parking,113.9115348,22.4893628
46,parking,114.0222134,22.5381868
47,vending_machine,114.1958566,22.5848015
48,fast_food,113.92051,22.5301396
49,restaurant,113.9205991,22.530119
50,other,113.9192101,22.531552
51,other,114.2202548,22.5569761
52,other,113.9208571,22.5194316
53,other,113.9096668,22.5316699
54,other,113.9155953,22.5326136
55,bus_station,113.894335,22.5668637
56,other,113.9211218,22.5299613
57,other,113.9589195,22.5982751
58,toilets,114.2369363,22.5552289
59,bicycle_rental,114.2262155,22.5490114
60,toilets,114.2263603,22.5486249
61,post_office,113.9030157,22.5316001
62,atm,114.0842283,22.5489822
63,bank,114.0842069,22.549101
64,other,114.0821952,22.5439509
65,other,114.0812188,22.5439832
66,marketplace,114.0844082,22.5474404
67,other,114.0837967,22.5482232
68,parking,114.0845048,22.5489862
69,other,114.0656899,22.5536562
70,other,114.0649566,22.5517011
71,taxi,114.0658149,22.5513691
72,parking,114.0656952,22.551739
73,parking,114.0646991,22.5521073
74,bank,114.0653519,22.5515359
75,hospital,114.0631541,22.5527563
76,post_box,114.0658937,22.5513625
77,restaurant,114.0655772,22.5536662
78,school,114.0254889,22.5682949
79,other,114.0326558,22.5674429
80,kindergarten,114.0288363,22.5690875
81,other,114.0330206,22.5696621
82,school,114.0264022,22.5692278
83,bank,114.033836,22.5675222
84,atm,114.0339003,22.5681562
85,restaurant,114.0361319,22.5689686
86,other,114.0324198,22.5690677
87,restaurant,114.0351658,22.5692198
88,pharmacy,114.0298878,22.5673835
89,bank,114.034675,22.5681473
90,bank,114.0342662,22.567859
91,parking,114.0342651,22.5711284
92,cinema,114.0287934,22.5680968
93,fast_food,114.0354882,22.5685129
94,atm,114.0335356,22.5678392
95,other,114.0350397,22.5687021
96,atm,114.0344153,22.5684336
97,parking,114.0319262,22.5707321
98,other,114.0317127,22.5724757
99,other,114.054325,22.555948
100,fast_food,113.9106614,22.4873859
101,other,114.1015803,22.5458878
102,other,114.2265673,22.5495832
103,fast_food,114.2460016,22.7271887
104,other,114.2467275,22.7275293
105,nightclub,114.2433573,22.7281924
106,fast_food,114.2316534,22.7129242
107,cafe,114.2432831,22.727208
108,other,114.2316908,22.7131654
109,place_of_worship,114.2222682,22.5547823
110,other,114.0594204,22.5540413
111,restaurant,114.0767932,22.5446676
112,other,113.9616417,22.5348684
113,other,113.961565,22.534815
114,other,114.0606554,22.6485562
115,other,114.0593403,22.6501868
116,other,114.1244393,22.5626984
117,other,114.3109584,22.6224175
118,bench,114.3076084,22.6329901
119,bench,114.2973362,22.633405
120,bench,114.2984263,22.6334724
121,bench,114.2987423,22.6345255
122,bench,114.3046811,22.6353362
123,bench,114.2957078,22.6356241
124,bench,114.3017798,22.6361626
125,bench,114.3040897,22.6363388
126,bench,114.2983358,22.6364033
127,bench,114.2940901,22.6364804
128,bench,114.2996099,22.638247
129,other,114.2921805,22.638431
130,other,114.2978566,22.6517061
131,fast_food,114.0802717,22.5493823
132,fast_food,114.0819454,22.5489066
133,bank,114.0818596,22.5494813
134,fast_food,114.0819079,22.5485301
135,cafe,114.0811521,22.5474104
136,other,114.0645275,22.5516464
137,other,114.0811679,22.5499025
138,other,114.0811947,22.5512798
139,bank,114.2266289,22.5519212
140,other,114.3029455,22.6955121
141,other,114.534656,22.591332
142,other,114.124615,22.573766
143,hospital,114.1232632,22.5585482
144,other,114.1219159,22.5740771
145,post_office,114.1239069,22.5695654
146,fire_station,114.1215895,22.5663555
147,school,114.1221468,22.5652553
148,bank,114.1210101,22.5692286
149,bank,114.1214234,22.5737214
150,bank,114.1236379,22.5737851
151,bank,114.1237076,22.5736016
152,other,114.1185696,22.5739986
153,other,114.1313531,22.5843604
154,fast_food,114.0616389,22.6484355
155,other,114.062331,22.640662
156,other,114.1141846,22.5402461
157,other,114.0634258,22.6388009
158,restaurant,114.0621592,22.647871
159,fast_food,114.0670194,22.6593662
160,restaurant,114.0623041,22.648376
161,cafe,114.0630766,22.6386821
162,other,114.0874335,22.5471303
163,other,114.0935427,22.541989
164,hospital,113.8936018,22.5650996
165,other,114.108484,22.541359
166,other,113.9327853,22.5197536
167,bar,113.9333942,22.5211213
168,other,113.932526,22.5209817
169,bar,113.9292047,22.5301078
170,bank,113.9250479,22.5302921
171,atm,113.9250452,22.5304233
172,atm,113.9277193,22.5307034
173,atm,113.929337,22.5326136
174,other,113.9282559,22.5297223
175,other,113.9275532,22.5303144
176,other,113.9253833,22.5292094
177,other,113.927556,22.5304655
178,cafe,113.9249406,22.5298534
179,other,113.9281272,22.5285752
180,other,113.927556,22.530686
181,bank,113.9258097,22.5209263
182,bank,113.9259231,22.5210147
183,other,113.9322781,22.5197428
184,fast_food,113.9240209,22.521443
185,cafe,113.9239134,22.5293149
186,other,113.9202126,22.5316574
187,post_office,113.9292594,22.5354027
188,bank,113.9313164,22.5360298
189,parking,113.9668364,22.5405309
190,restaurant,113.9291323,22.5404463
191,restaurant,113.9360978,22.5332137
192,other,114.2141818,22.703347
193,other,114.2228477,22.6934061
194,other,114.2234804,22.6933578
195,toilets,114.2118501,22.7022167
196,other,114.2433047,22.7281121
197,other,114.2151792,22.6993545
198,other,114.2147801,22.703258
199,bicycle_rental,114.2140228,22.7023721
200,fast_food,114.2437446,22.7267726
201,other,114.2197703,22.7057597
202,toilets,114.2194648,22.6955469
203,restaurant,114.0485114,22.537715
204,pub,114.0484084,22.5377109
205,ice_cream,114.0488832,22.5359731
206,restaurant,114.0485645,22.5386213
207,restaurant,114.0552623,22.5392569
208,cafe,114.1869525,22.6499076
209,other,114.187438,22.6491387
210,cinema,114.1873061,22.6516776
211,restaurant,114.186782,22.651283
212,atm,114.2128758,22.7159393
213,toilets,114.2134268,22.6993191
214,cafe,114.1048141,22.5449529
215,toilets,114.0962441,22.546303
216,toilets,114.0992698,22.5449902
217,bicycle_rental,114.2066442,22.6997278
218,toilets,114.2108825,22.6962185
219,other,114.3095222,22.6002505
220,other,113.9179581,22.488295
221,hospital,114.1344145,22.6192026
222,fuel,113.9489252,22.5816455
223,bar,113.9284041,22.4807206
224,other,113.901791,22.4981748
225,other,113.8997034,22.490838
226,restaurant,114.0481343,22.538959
227,parking_entrance,114.0435534,22.5397981
228,parking_entrance,114.0421828,22.5410472
229,parking,113.9610077,22.5608151
230,other,114.0304602,22.5676601
231,fountain,113.9337324,22.5187081
232,school,113.9896472,22.5329494
233,parking_entrance,113.9335728,22.5190955
234,parking_entrance,113.933099,22.5194589
235,cinema,113.9248937,22.522415
236,other,113.9242258,22.5216816
237,other,113.9256114,22.522841
238,cafe,113.924671,22.5228809
239,toilets,113.929288,22.5299466
240,fountain,113.92402,22.5322005
241,toilets,113.9109386,22.547782
242,school,113.9777334,22.5667147
243,kindergarten,113.8822827,22.4841385
244,parking,113.8815628,22.4839921
245,bank,113.9264051,22.5218922
246,cinema,113.9332824,22.5202717
247,other,114.0522309,22.6052461
248,other,114.0548194,22.6035555
249,atm,113.9212026,22.5299594
250,bank,113.919044,22.53019
251,other,113.9238403,22.5298693
252,bicycle_rental,113.9894359,22.5243686
253,other,113.9895513,22.5243562
254,other,114.1278813,22.5411206
255,other,114.0616145,22.6474946
256,fast_food,113.8630842,22.5693764
257,other,113.86324,22.5694859
258,fast_food,113.864169,22.5704418
259,fast_food,113.8640115,22.5702556
260,other,113.8640911,22.5703569
261,parking,113.8633954,22.5708917
262,parking,113.8631908,22.5706126
263,parking,113.8637492,22.569963
264,other,113.8595515,22.5774784
265,bus_station,113.8800096,22.593276
266,cafe,113.9241107,22.530462
267,other,113.9574924,22.521675
268,other,113.8833522,22.5576997
269,fast_food,113.8832817,22.5578559
270,fast_food,113.8803514,22.5613307
271,bar,113.8747465,22.5592042
272,parking_entrance,114.2998432,22.6017954
273,parking_entrance,114.2984776,22.5997168
274,other,114.0436803,22.5344907
275,fuel,113.8624272,22.5805437
276,atm,113.9262099,22.5348436
277,other,113.9722937,22.5369428
278,other,113.9707393,22.534146
279,other,113.969996,22.5354838
280,other,113.966105,22.5370377
281,other,113.9649176,22.5383151
282,other,113.9645394,22.5384307
283,bank,114.0635149,22.5343324
284,bank,114.0623389,22.5372052
285,bank,114.0637959,22.5361185
286,bank,114.0635436,22.5330017
287,other,114.0636988,22.5350917
