,time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
2160,2023-04-01 00:00:00,20.6,20.6,85.99,18.2,0.0,0.0,0.0,,30.2,18.8,96.0,1013.0,9.9,73.6,0.0,0.0,0.0,2
2161,2023-04-01 01:00:00,20.1,20.1,88.84,18.2,0.0,0.0,0.0,,31.0,18.8,99.0,1012.9,10.0,73.6,0.0,0.0,0.0,2
2162,2023-04-01 02:00:00,19.6,19.6,84.66,17.0,0.0,0.0,0.0,,28.8,7.5,150.0,1013.0,23.0,91.9,0.0,0.0,0.0,1
2163,2023-04-01 03:00:00,20.1,20.1,86.25,17.7,0.0,0.0,0.0,,28.1,17.3,96.0,1011.9,10.0,73.6,0.0,0.0,0.0,2
2164,2023-04-01 04:00:00,20.2,20.2,85.71,17.7,0.0,0.0,0.0,,28.4,12.9,91.0,1011.0,9.9,73.6,0.0,0.0,0.0,2
2165,2023-04-01 05:00:00,19.2,19.2,91.22,17.7,0.0,0.0,0.0,,36.0,10.7,115.0,1012.0,18.5,91.9,0.0,0.0,0.0,1
2166,2023-04-01 06:00:00,19.7,19.7,90.9,18.2,0.0,0.0,0.0,,28.1,14.6,61.0,1012.0,9.8,73.6,0.0,0.0,0.0,2
2167,2023-04-01 07:00:00,20.0,20.0,89.09,18.2,0.0,0.0,0.0,,27.0,10.8,55.0,1012.9,6.2,73.6,7.8,0.0,0.0,2
2168,2023-04-01 08:00:00,18.8,18.8,94.99,18.0,0.076,0.0,0.0,['rain'],36.0,7.2,85.0,1014.0,17.5,90.0,101.0,0.4,1.0,6
2169,2023-04-01 09:00:00,20.0,20.0,89.09,18.2,0.0,0.0,0.0,,31.0,14.6,55.0,1014.0,7.1,73.6,228.6,0.8,2.0,2
2170,2023-04-01 10:00:00,20.5,20.5,86.53,18.2,0.0,0.0,0.0,,29.2,11.6,58.0,1014.0,8.5,73.6,285.7,1.0,3.0,2
2171,2023-04-01 11:00:00,20.0,20.0,89.61,18.2,0.0,0.0,0.0,,36.0,10.8,98.0,1014.5,22.2,91.9,366.6,1.3,4.0,1
2172,2023-04-01 12:00:00,20.9,20.9,84.06,18.2,0.0,0.0,0.0,,25.9,11.8,64.0,1013.0,9.5,73.6,305.0,1.1,3.0,2
2173,2023-04-01 13:00:00,21.9,21.9,81.44,18.6,0.0,0.0,0.0,,26.6,12.0,95.0,1012.0,10.0,73.6,534.6,1.9,5.0,2
2174,2023-04-01 14:00:00,23.0,23.0,78.92,19.1,0.0,0.0,0.0,,36.0,13.7,88.0,1011.4,21.6,82.3,507.4,1.8,5.0,2
2175,2023-04-01 15:00:00,22.4,22.4,79.35,18.6,0.0,0.0,0.0,,26.6,12.0,10.0,1010.0,7.6,73.6,319.2,1.1,3.0,2
